,Cumulative number of case(s),Number of deaths,Number recovered
0,1,0,0
1,8,2,0
2,20,0,0
3,95,1,0
4,2,0,0
5,1,0,0
6,40,1,0
7,2,0,0
8,8,2,0
9,0,0,0
10,23,0,0
11,123,1,0
12,3,0,0
13,1,0,0
14,57,1,0
15,1,0,0
16,1,0,0
17,8,2,0
18,0,0,0
19,1,0,0
20,150,5,0
21,31,0,0
22,1,0,0
23,1,0,0
24,3,0,0
25,1,0,0
26,1,0,0
27,11,0,0
28,56,2,0
29,9,2,0
30,0,0,0
31,1,0,0
32,173,6,0
33,34,0,0
34,1,0,0
35,1,0,0
36,7,0,0
37,4,0,0
38,1,0,0
39,2,0,0
40,11,0,0
41,62,2,0
42,9,2,0
43,0,0,0
44,1,0,0
45,203,6,0
46,1,0,0
47,1,0,0
48,39,0,0
49,1,0,0
50,1,0,0
51,7,0,0
52,6,0,0
53,4,0,0
54,2,0,0
55,13,0,0
56,62,2,0
57,9,2,0
58,0,0,0
59,2,0,0
60,222,7,0
61,2,0,0
62,1,0,0
63,44,0,0
64,1,0,0
65,1,0,0
66,7,0,0
67,6,0,0
68,4,0,0
69,2,0,0
70,22,0,0
71,63,2,0
72,11,3,0
73,0,0,0
74,1,0,0
75,4,0,0
76,260,10,0
77,2,0,0
78,1,0,0
79,65,0,0
80,1,0,0
81,2,0,0
82,6,0,0
83,5,0,0
84,3,0,0
85,37,0,0
86,58,4,0
87,11,3,0
88,0,0,0
89,1,0,0
90,4,0,0
91,286,10,0
92,2,0,0
93,1,0,0
94,69,0,0
95,2,0,0
96,6,0,0
97,5,0,0
98,3,0,0
99,39,0,0
100,58,4,0
101,19,3,0
102,792,31,0
103,316,10,0
104,6,0,0
105,1,0,0
106,4,0,0
107,3,0,0
108,2,0,0
109,74,1,0
110,2,0,0
111,3,0,0
112,3,0,0
113,40,0,0
114,58,4,0
115,28,3,0
116,806,34,0
117,367,10,0
118,6,0,0
119,1,0,0
120,4,0,0
121,2,0,0
122,2,0,0
123,3,0,0
124,78,2,0
125,2,0,0
126,3,0,0
127,3,0,0
128,45,0,0
129,58,4,0
130,29,3,0
131,806,34,0
132,425,10,0
133,10,0,0
134,1,0,0
135,4,0,0
136,2,0,0
137,2,0,0
138,3,0,0
139,86,2,0
140,2,0,0
141,3,0,0
142,3,0,0
143,51,0,0
144,58,4,0
145,37,3,0
146,806,34,0
147,470,10,0
148,10,0,0
149,1,0,0
150,4,0,0
151,2,0,0
152,2,0,0
153,3,0,0
154,89,2,0
155,3,0,0
156,3,1,0
157,3,0,0
158,59,0,0
159,58,4,0
160,44,4,0
161,806,34,0
162,530,13,0
163,10,0,0
164,1,0,0
165,5,0,0
166,2,0,0
167,2,0,0
168,3,0,0
169,91,2,0
170,3,0,0
171,5,1,0
172,3,0,0
173,59,0,0
174,58,4,0
175,1,0,0
176,1,0,0
177,53,4,0
178,806,34,0
179,685,16,0
180,13,0,0
181,1,0,0
182,5,0,0
183,3,0,0
184,2,0,0
185,3,0,0
186,92,3,0
187,3,0,0
188,6,1,0
189,3,0,0
190,69,0,0
